City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,28.53,79,20,5.14,JM,1749265356
83,simanggang,1.2472,111.4528,25.99,88,40,1.54,MY,1749265358
84,badarganj,25.674,89.0549,31.62,56,0,2.37,BD,1749265359
85,hermanus,-34.4187,19.2345,14.89,84,74,9.12,ZA,1749265360
86,maragogi,-9.0122,-35.2225,24.38,87,15,3.26,BR,1749265361
87,illizi,26.4833,8.4667,30.42,28,100,0.89,DZ,1749265362
88,umm ruwaba,12.9061,31.2158,27.38,37,11,3.06,SD,1749265363
89,vorgashor,67.5833,63.95,2.36,100,77,3.77,RU,1749265364
90,palmer,42.1584,-72.3287,20.13,80,100,0.62,US,1749265365
91,mahina,-17.5065,-149.489,25.87,83,75,2.06,PF,1749265366
92,rundu,-17.9333,19.7667,11.74,55,0,1.62,NA,1749265368
93,sarangani,5.4033,125.4636,28.79,77,98,8.09,PH,1749265369
94,nazarovo,56.0064,90.3914,20.91,63,13,3.23,RU,1749265370
95,harper,4.375,-7.7169,25.48,87,93,3.27,LR,1749265371
96,lebu,-37.6167,-73.65,10.51,96,100,3.91,CL,1749265372
97,tiksi,71.6872,128.8694,0.14,83,94,2.58,RU,1749265080
98,tura,25.5198,90.2201,29.2,69,0,1.04,IN,1749265374
99,nueva esperanza,15.2667,-87.6,26.6,86,100,0.24,HN,1749265375
100,arrifes,37.7667,-25.7,17.18,82,20,0.51,PT,1749265376
101,jiaozuo,35.2397,113.2331,34.28,32,100,4.99,CN,1749265220
102,yuzhno-kurilsk,44.0306,145.8556,13.07,87,100,6.11,RU,1749265379
103,owando,-0.4819,15.8999,21.66,93,31,0.62,CG,1749265380
104,minas de marcona,-15.2119,-75.1103,11.04,92,85,5.08,PE,1749265381
105,anna regina,7.2644,-58.5077,25.15,91,69,3.05,GY,1749265382
106,al kharijah,25.4514,30.5464,23.98,25,0,3.47,EG,1749265383
107,la passe,45.5549,-0.8967,15.93,84,100,6.31,FR,1749265384
108,katsuren-haebaru,26.3369,127.8719,31.16,81,14,3.39,JP,1749265385
109,udachny,66.4167,112.4,12.19,29,26,0.89,RU,1749265386
110,hasaki,35.7333,140.8333,22.67,73,49,9.12,JP,1749265389
111,mana,5.6592,-53.7767,25.42,90,100,4.44,GF,1749265390
112,markova,48.6758,24.4138,16.49,81,31,3.17,UA,1749265391
113,constantia,44.1833,28.65,17.61,91,7,1.76,RO,1749265392
114,khanty-mansiysk,61.0042,69.0019,9.06,57,0,2.0,RU,1749265393
115,ji'an,27.1172,114.9793,32.81,65,27,4.48,CN,1749265394
116,mount gambier,-37.8333,140.7667,8.02,94,99,4.08,AU,1749265395
117,badagry,6.4167,2.8833,25.39,89,100,2.99,NG,1749265396
118,souillac,-20.5167,57.5167,22.21,94,40,6.17,MU,1749265397
119,kizhinga,51.8462,109.9097,19.11,29,99,5.5,RU,1749265398
120,nambucca heads,-30.65,153.0,20.96,40,1,0.53,AU,1749265400
121,olenino,56.2092,33.4889,15.95,96,84,2.76,RU,1749265401
122,sakaiminato,35.55,133.2333,27.99,44,75,2.57,JP,1749265402
123,praia da vitoria,38.7333,-27.0667,18.14,94,40,1.5,PT,1749265403
124,fortuna,40.5982,-124.1573,12.74,88,49,2.06,US,1749265404
125,mitu,1.1983,-70.1733,19.24,99,63,1.2,CO,1749265405
126,rongelap,11.1635,166.8941,28.0,73,24,2.81,MH,1749265406
127,zwedru,6.0667,-8.1281,21.77,99,86,0.95,LR,1749265407
128,inhambane,-23.865,35.3833,19.91,84,0,1.98,MZ,1749265408
129,konstantinovka,49.6167,127.9833,14.94,75,100,2.38,RU,1749265410
130,codrington,-38.2667,141.9667,12.7,65,57,5.33,AU,1749265411
131,haiku-pauwela,20.9219,-156.3051,26.79,71,44,12.52,US,1749265412
132,thompson,55.7435,-97.8558,20.09,49,100,1.54,CA,1749265413
133,howard springs,-12.497,131.047,29.95,51,92,4.47,AU,1749265414
134,nova sintra,14.8667,-24.7167,23.28,84,3,5.44,CV,1749265415
135,lichtenburg,-26.152,26.1597,9.11,75,0,4.09,ZA,1749265416
136,coquimbo,-29.9533,-71.3436,12.85,92,75,1.03,CL,1749265417
137,puerto natales,-51.7236,-72.4875,6.69,94,100,1.26,CL,1749265418
138,port lincoln,-34.7333,135.8667,14.84,72,95,13.97,AU,1749265420
139,weno,7.4515,151.8468,28.75,75,14,4.98,FM,1749265422
140,aasiaat,68.7098,-52.8699,-0.7,89,38,2.97,GL,1749265423
141,massena,44.9281,-74.8919,17.15,82,0,0.0,US,1749265424
142,taro,-8.3862,115.28,22.6,90,93,1.17,ID,1749265425
143,talnakh,69.4865,88.3972,7.2,98,100,1.9,RU,1749265426
144,lethem,3.3803,-59.7968,24.56,88,68,3.05,GY,1749265427
145,grand gaube,-20.0064,57.6608,21.88,91,66,0.89,MU,1749265428
146,strezhevoy,60.7333,77.5889,9.08,81,100,6.17,RU,1749265430
147,al khums,32.6486,14.2619,22.07,52,63,3.51,LY,1749265431
148,isafjordur,66.0755,-23.124,1.14,75,52,1.8,IS,1749265432
149,enewetak,11.3474,162.3373,28.18,70,17,3.54,MH,1749265433
150,yellowknife,62.456,-114.3525,11.34,86,75,8.23,CA,1749265434
151,medina,24.4686,39.6142,29.24,13,0,2.06,SA,1749265218
152,tongliao,43.6125,122.2653,24.38,29,1,4.78,CN,1749265227
153,jamestown,42.097,-79.2353,18.8,100,100,2.57,US,1749265437
154,patos de minas,-18.5789,-46.5181,18.04,66,8,1.68,BR,1749265438
155,sao joao da barra,-21.6403,-41.0511,21.8,83,100,5.44,BR,1749265439
156,tekirova,36.5017,30.5272,21.7,44,0,2.22,TR,1749265440
157,ancud,-41.8697,-73.8203,6.62,92,8,1.99,CL,1749265442
158,kapa'a,22.0752,-159.319,25.82,76,1,0.89,US,1749265443
159,tual,-5.6667,132.75,26.56,86,96,8.52,ID,1749265446
160,phrai bueng,14.7483,104.3626,32.74,66,78,3.19,TH,1749265447
161,grootfontein,-19.5667,18.1167,5.76,87,0,1.54,NA,1749265448
162,kaa-khem,51.6833,94.7333,21.36,52,100,0.25,RU,1749265449
163,tarawa,1.419,172.984,31.05,70,20,4.12,KI,1749265451
164,caldas novas,-17.7417,-48.625,19.06,52,16,0.82,BR,1749265452
165,ilulissat,69.2167,-51.1,2.01,87,100,2.57,GL,1749265453
166,crane,31.3974,-102.3501,29.24,39,90,9.53,US,1749265454
167,yeppoon,-23.1333,150.7333,21.65,63,95,0.52,AU,1749265455
168,rikaze,29.25,88.8833,11.43,47,100,0.87,CN,1749265456
169,gulf shores,30.246,-87.7008,28.89,86,6,5.95,US,1749265457
170,puerto baquerizo moreno,-0.9,-89.6,23.44,87,7,4.6,EC,1749265458
171,popondetta,-8.7537,148.2534,27.47,82,98,1.63,PG,1749265459
172,gizo,-8.103,156.8419,26.62,85,100,6.99,SB,1749265460
173,huanimaro,20.3667,-101.5,23.11,47,83,3.92,MX,1749265461
174,san fernando,15.0286,120.6898,30.85,78,100,1.06,PH,1749265463
175,eilat,29.5581,34.9482,24.91,36,0,5.14,IL,1749265464
176,nykarleby,63.5228,22.5307,12.79,81,100,3.12,FI,1749265465
177,ternate,0.8,127.4,28.88,72,56,3.11,ID,1749265466
178,port mathurin,-19.6833,63.4167,24.43,70,4,8.77,MU,1749265467
179,mount isa,-20.7333,139.5,23.87,15,100,8.23,AU,1749265469
180,pacific grove,36.6177,-121.9166,15.82,86,0,2.57,US,1749265470
181,bonthe,7.5264,-12.505,25.64,87,80,1.78,SL,1749265471
182,adrar,20.5022,-10.0711,26.32,26,0,4.04,MR,1749265473
183,ha'il,27.5219,41.6907,20.01,17,0,1.03,SA,1749265474
184,cabo san lucas,22.8909,-109.9124,23.12,68,23,5.71,MX,1749264966
185,arvayheer,46.2639,102.775,17.37,36,28,3.42,MN,1749265476
186,manukan,8.5333,123.1,28.24,79,100,3.29,PH,1749265477
187,dunda,-8.1167,34.25,14.35,88,5,1.47,TZ,1749265478
188,elk city,35.412,-99.4043,25.12,88,20,6.17,US,1749265479
189,dhar,22.6,75.3,30.39,46,0,6.37,IN,1749265294
190,rawson,-43.3002,-65.1023,1.16,75,0,2.57,AR,1749265482
191,hami,42.8,93.45,31.21,16,53,4.18,CN,1749265483
192,saint-pierre,-21.3393,55.4781,21.82,73,0,6.69,RE,1749265484
193,kerouane,9.2667,-9.0167,20.97,95,97,1.81,GN,1749265485
194,st. john's,47.5649,-52.7093,16.66,94,20,4.12,CA,1749265487
195,marquette,46.5333,-87.6335,10.2,88,49,0.81,US,1749265490
196,taroa,8.7058,171.2275,28.0,72,92,2.57,MH,1749265491
197,kruisfontein,-34.0033,24.7314,12.7,23,98,3.33,ZA,1749265492
198,san luis potosi,22.5,-100.5,19.98,77,44,4.88,MX,1749265297
199,san fernando de apure,7.8878,-67.4724,23.26,95,43,0.92,VE,1749265494
200,queenstown,-31.8976,26.8753,11.85,58,42,3.26,ZA,1749265495
201,roswell,34.0232,-84.3616,25.86,90,75,3.09,US,1749265496
202,traverse city,44.7631,-85.6206,14.08,83,0,0.0,US,1749265497
203,sierakowice,54.3461,17.8925,10.08,95,51,3.37,PL,1749265498
204,san jose de gracia,20.6667,-102.5833,22.71,36,9,1.87,MX,1749265499
205,zeya,53.75,127.2667,13.88,77,100,1.81,RU,1749265500
206,lompoc,34.6391,-120.4579,17.61,79,6,4.63,US,1749265502
207,lexington,37.9887,-84.4777,20.61,84,100,1.54,US,1749265503
208,akureyri,65.6835,-18.0878,2.96,81,100,1.54,IS,1749265504
209,lexington-fayette,38.0498,-84.4585,20.59,84,100,1.54,US,1749265505
210,luanda,-8.8368,13.2343,23.09,83,100,2.88,AO,1749265506
211,lashio,22.9333,97.75,27.82,66,47,0.87,MM,1749265507
212,sumedang utara,-6.85,107.9167,28.69,67,100,0.79,ID,1749265508
213,podgornoye,51.735,39.1496,20.12,68,0,1.0,RU,1749265509
214,federacion,-31.0062,-57.8996,10.32,74,0,3.89,AR,1749265510
215,the pas,53.8251,-101.2541,25.01,23,100,3.6,CA,1749265511
216,namibe,-15.1961,12.1522,20.28,68,0,2.76,AO,1749265513
217,mil'kovo,55.6078,37.7956,18.5,80,100,2.07,RU,1749265500
218,kavaratti,10.5669,72.642,28.7,73,75,4.99,IN,1749265515
219,montepuez,-13.1256,38.9997,15.26,94,0,1.85,MZ,1749265516
220,alatyr',54.8421,46.5813,15.3,75,31,3.09,RU,1749265517
221,ajaccio,42.0,8.9167,14.66,72,0,3.09,FR,1749265518
